Environment,SarCategory,Response,date,LocationFindLocationLatitude,LocationFindLocationLongitude
Land,Cat1,SAROP,2011-01-01,-44.99722182,168.6303526
Land,Cat1,SAROP,2017-02-01,-41.264554,174.762372
Land,Cat1,SAROP,2017-01-01,-36.953562,174.46585
Land,Cat1,SAROP,2013-12-01,-36.8937099,174.720246
Land,Cat1,SAROP,2016-02-01,-41.289337,174.793827
Land,Cat1,SAROP,2015-05-01,-36.897973,174.436365
Marine,Cat1,SAROP,2011-02-01,-37.63655105,176.0982132
Marine,Cat1,SAROP,2018-06-01,-41.257057,174.866924
Land,Cat1,SAROP,2017-02-01,-41.154778,173.413216
Marine,Cat1,SAROP,2013-01-01,-36.8366096,175.8256038
Marine,Cat1,SAROP,2016-07-01,-36.829803,174.721198
Land,Cat1,SAROP,2018-11-01,-43.23152,172.230533
Marine,Cat1,SAROP,2018-11-01,-36.403383,174.747184
Marine,Cat1,SAROP,2013-03-01,-36.7367165,174.926938
Land,Cat1,SAROP,2016-02-01,-40.047746,175.749714
Land,Cat1,SAROP,2014-05-01,-40.8926416,174.9744953
Land,Cat1,SAROP,2018-07-01,-36.828701,174.739474
Land,Cat1,SAROP,2017-03-01,-37.095687,175.861611
Marine,Cat1,SAROP,2017-04-01,-36.626113,174.72951
Land,Cat1,SAROP,2017-03-01,-45.812561,170.558922
Land,Cat1,SAROP,2012-05-01,-36.8416637,174.7166681
Land,Cat1,SAROP,2017-05-01,-39.1501087,175.6351756
Land,Cat1,SAROP,2013-06-01,-36.0801187,174.6009219
Land,Cat1,SAROP,2018-06-01,-37.042515,174.981077
Land,Cat1,SAROP,2019-01-01,-38.011667,175.090556
Land,Cat1,SAROP,2010-08-01,-44.62566206,168.8845807
Marine,Cat1,SAROP,2013-09-01,-37.794835,174.8836656
Land,Cat1,SAROP,2013-04-01,-43.26836276,172.025199
Marine,Cat1,SAROP,2012-03-01,-38.7043303,176.0746721
Land,Cat1,SAROP,2017-02-01,-45.9031697,170.6515026
Land,Cat1,SAROP,2019-04-01,-44.270734,170.065766
Marine,Cat1,SAROP,2014-01-01,-41.4895836,174.0098629
Land,Cat1,SAROP,2010-11-01,-36.16866053,174.6362745
Land,Cat1,SAROP,2016-05-01,-39.074243,174.10991
Marine,Cat1,SAROP,2010-10-01,-38.967945,174.281277
Land,Cat1,SAROP,2018-03-01,-45.112194,170.9824
Land,Cat1,SAROP,2012-11-01,-39.20975156,175.680842
Land,Cat1,SAROP,2011-01-01,-38.12207294,176.31004
Land,Cat1,SAROP,2012-04-01,-36.89400353,174.8552518
Land,Cat1,SAROP,2017-11-01,-36.915183,174.776371
Land,Cat1,SAROP,2014-01-01,-36.8696739,174.6298914
Land,Cat1,SAROP,2014-03-01,-43.6873033,170.0755241
Land,Cat1,SAROP,2014-09-01,-37.685867,176.172657
Land,Cat1,SAROP,2012-03-01,-41.34887554,174.7404755
Land,Cat1,SAROP,2016-07-01,-37.770074,175.265061
Land,Cat1,SAROP,2014-10-01,-37.8175606,174.8020627
Land,Cat1,SAROP,2014-08-01,-37.707957,176.1494638
Land,Cat1,SAROP,2013-01-01,-41.2192507,174.8232105
Land,Cat1,SAROP,2011-01-01,-35.51155112,173.7570606
Land,Cat1,SAROP,2011-02-01,-35.72321313,174.325338
Land,Cat1,SAROP,2013-01-01,-37.0033222,175.8594286
Land,Cat1,SAROP,2012-10-01,-37.04847281,175.6763075
Marine,Cat1,SAROP,2011-06-01,-37.421981,175.185242
Marine,Cat1,SAROP,2018-02-01,-37.746511,176.455349
Land,Cat1,SAROP,2013-02-01,-41.23450741,174.90507
Marine,Cat1,SAROP,2018-02-01,-39.612241,176.96391
Land,Cat1,SAROP,2012-11-01,-40.2929118,175.215257
Land,Cat1,SAROP,2018-08-01,-36.95817,174.468142
Land,Cat1,SAROP,2014-11-01,-43.5974993,172.7455836
Land,Cat1,SAROP,2011-12-01,-39.49874121,176.901859
Land,Cat1,SAROP,2012-03-01,-35.46535198,173.4599352
Land,Cat1,SAROP,2014-05-01,-36.8952002,174.9504644
Marine,Cat1,SAROP,2011-02-01,-35.615442,174.535847
Land,Cat1,SAROP,2013-01-01,-35.65986299,174.3828179
Land,Cat1,SAROP,2018-06-01,-39.019207,174.145682
Marine,Cat1,SAROP,2012-08-01,-36.460504,175.3956666
Land,Cat1,SAROP,2013-08-01,-41.0890989,174.8817182
Land,Cat1,SAROP,2019-02-01,-36.32585,174.784833
Land,Cat1,SAROP,2018-05-01,-38.142868,176.224237
Marine,Cat1,SAROP,2013-12-01,-41.7331672,174.2829425
Land,Cat1,SAROP,2018-12-01,-45.904466,170.549144
Land,Cat1,SAROP,2015-07-01,-36.8289495,174.7981
Land,Cat2,SAROP,2016-04-01,-44.602919,169.653277
Land,Cat1,SAROP,2013-05-01,-36.8416692,174.8583374
Land,Cat1,SAROP,2018-09-01,-38.142868,176.224237
Land,Cat1,SAROP,2012-08-01,-41.30930797,174.7810293
Land,Cat1,SAROP,2018-02-01,-38.038634,176.35258
Land,Cat1,SAROP,2011-04-01,-39.25781318,175.555562
Land,Cat1,SAROP,2012-05-01,-43.76818526,171.6947779
Land,Cat1,SAROP,2011-01-01,-43.56154662,172.7380209
Land,Cat1,SAROP,2017-08-01,-39.435212,175.39033
Marine,Cat1,SAROP,2015-10-01,-41.309438,174.805016
Marine,Cat1,SAROP,2017-10-01,-46.565862,168.472662
Land,Cat1,SAROP,2011-03-01,-38.72030035,176.8003523
Land,Cat1,SAROP,2011-06-01,-45.87896127,170.5097636
Land,Cat1,SAROP,2014-11-01,-42.0000223,171.8395304
Land,Cat1,SAROP,2012-09-01,-37.94781212,175.7529985
Land,Cat1,SAROP,2018-03-01,-39.06441,174.026128
Land,Cat1,SAROP,2019-01-01,-43.443573,172.504323
Land,Cat1,SAROP,2012-04-01,-46.44318441,169.5165869
Land,Cat1,SAROP,2017-02-01,-36.581007,174.695072
Land,Cat1,SAROP,2014-01-01,-45.8280299,170.5536878
Land,Cat1,SAROP,2016-09-01,-41.770697,172.626221
Land,Cat1,SAROP,2018-10-01,-37.6698893,175.1449023
Land,Cat1,SAROP,2016-03-01,-44.243644,169.866574
Land,Cat1,SAROP,2016-05-01,-44.726858,168.170086
Land,Cat1,SAROP,2015-12-01,-45.009064,168.612596
Land,Cat1,SAROP,2017-02-01,-37.736148,175.8621347
Land,Cat1,SAROP,2012-06-01,-43.50741902,172.7327872
Land,Cat1,SAROP,2010-09-01,-45.91739888,170.4861339
Marine,Cat1,SAROP,2012-11-01,-40.866665,174.9833342
Land,Cat1,SAROP,2011-04-01,-45.03192307,168.6519805
Marine,Cat1,SAROP,2010-09-01,-45.524431,167.903366
Land,Cat1,SAROP,2012-12-01,-39.4822152,176.8902876
Land,Cat1,SAROP,2019-02-01,-43.5240936,172.6829191
Marine,Cat1,SAROP,2014-10-01,-41.331225,174.769896
Marine,Cat1,SAROP,2012-01-01,-42.421663,173.7674959
Marine,Cat1,SAROP,2011-04-01,-36.46666628,174.9333323
Land,Cat1,SAROP,2012-07-01,-43.41971442,170.1702181
Land,Cat1,SAROP,2018-01-01,-35.770071,174.479604
Land,Cat1,SAROP,2011-04-01,-37.94841081,176.1517692
Marine,Cat1,SAROP,2016-07-01,-38.739957,176.159652
Land,Cat1,SAROP,2017-01-01,-41.2723087,173.2509836
Land,Cat1,SAROP,2018-10-01,-36.827917,174.423769
Marine,Cat1,SAROP,2013-11-01,-46.4754657,169.6787654
Land,Cat1,SAROP,2014-07-01,-38.6758509,176.6989931
Land,Cat1,SAROP,2019-01-01,-44.0711319,170.8058522
Land,Cat1,SAROP,2012-01-01,-39.17195463,176.410031
Land,Cat1,SAROP,2012-10-01,-40.35941418,175.5923506
Land,Cat1,SAROP,2014-06-01,-36.8786783,174.8122129
Marine,Cat1,SAROP,2014-10-01,-41.276052,174.904502
Land,Cat1,SAROP,2017-09-01,-37.598207,176.06368
Land,Cat1,SAROP,2011-08-01,-37.028668,174.5693389
Land,Cat1,SAROP,2011-08-01,-39.27747314,174.0676316
Land,Cat1,SAROP,2017-02-01,-40.253029,175.296782
Marine,Cat1,SAROP,2019-02-01,-37.133303,174.698919
Marine,Cat1,SAROP,2015-11-01,-41.304497,174.833123
Land,Cat1,SAROP,2016-01-01,-37.7856849,175.2818236
Land,Cat1,SAROP,2017-02-01,-37.2432254,174.742951
Land,Cat1,SAROP,2015-11-01,-37.7253161,175.2239001
Land,Cat1,SAROP,2011-08-01,-41.10679985,174.9657632
