Environment,Activation,Type,SarCategory,Lat,Long,date,Region
Water,Outside NZSRR,EPIRB,Category 2 SAR,-21.70898,151.73822,2015-01-01,Unknown
Not Determined,Outside NZSRR,EPIRB,Category 2 SAR,-27.414425,153.317317,2016-01-01,Unknown
Not Determined,Undetermined,EPIRB,Category 2 SAR,-36.9416647,175.4550029,2017-01-01,Waikato
Water,Real distress,EPIRB,Category 2 SAR,44.242636,-176.130581,2018-01-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-39.161667,176.208333,2019-01-01,Hawke's Bay
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-37.8699978,176.1366706,2017-01-01,Bay of Plenty
Air,Real distress,ELT,Category 2 SAR,-42.747664,170.938333,2018-01-01,West Coast
Land,Undetermined,PLB,Category 2 SAR,-43.881167,169.962167,2019-01-01,Canterbury
Land,Real distress,EPIRB,Category 2 SAR,-38.4606642,175.5831719,2012-01-01,Waikato
Water,Malfunction,EPIRB,Category 2 SAR,-36.4999995,174.7500011,2014-01-01,Auckland
Land,Real distress,PLB,Category 2 SAR,-37.868833,178.0354977,2015-01-01,Gisborne
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-40.2558337,175.6051683,2016-01-01,Manawatu-Wanganui
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-37.6666627,176.3166629,2017-01-01,Bay of Plenty
Water,Malfunction,EPIRB,Category 2 SAR,-36.622668,174.6425,2018-01-01,Auckland
Land,Real distress,PLB,Category 2 SAR,-42.146669,172.6221706,2013-01-01,Canterbury
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-36.4916625,174.3399983,2015-01-01,Auckland
Not Determined,Undetermined,PLB,Category 2 SAR,-14.323974,-170.682107,2016-01-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-44.085501,169.4278311,2017-01-01,West Coast
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-36.823004,175.699166,2018-01-01,Waikato
Water,Real distress,EPIRB,Category 2 SAR,-36.862167,174.922167,2019-01-01,Auckland
Water,Undetermined,EPIRB,Category 2 SAR,-37.3653371,176.4529959,2012-01-01,Bay of Plenty
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-36.8200028,174.8049984,2013-01-01,Auckland
Water,Outside NZSRR,EPIRB,Category 2 SAR,-35.234588,150.509067,2017-01-01,Unknown
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-37.001171,174.797833,2018-01-01,Auckland
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-45.0288319,169.2024993,2012-01-01,Otago
Water,Malfunction,EPIRB,Category 2 SAR,-41.0888336,174.8569948,2013-01-01,Wellington
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-41.5259984,173.9028308,2014-01-01,Marlborough
Land,Real distress,PLB,Category 2 SAR,-41.05,172.5255008,2015-01-01,Tasman
Land,Real distress,PLB,Category 2 SAR,-40.9211624,175.3788334,2016-01-01,Wellington
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-36.6553291,174.6571665,2017-01-01,Auckland
Water,Malfunction,EPIRB,Category 2 SAR,-38.001997,175.794002,2018-01-01,Waikato
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-41.514833,173.871167,2019-01-01,Marlborough
Water,Real distress,EPIRB,Category 2 SAR,-41.8561669,174.4683355,2013-01-01,Marlborough
Land,Mishandling / inadvertent,PLB,Category 2 SAR,-37.9743369,177.0656622,2014-01-01,Bay of Plenty
Land,Real distress,PLB,Category 2 SAR,-39.5988362,176.205498,2016-01-01,Hawke's Bay
Land,Real distress,PLB,Category 2 SAR,-42.9500012,171.3900008,2017-01-01,Canterbury
Water,Outside NZSRR,EPIRB,Category 2 SAR,-6.198763,155.645831,2018-01-01,Unknown
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-12,174,2012-01-01,Unknown
Land,Mishandling / inadvertent,PLB,Category 2 SAR,-40.9626699,172.1151694,2013-01-01,West Coast
Land,Real distress,PLB,Category 2 SAR,-42.9466661,171.4266648,2014-01-01,Canterbury
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-35.609664,174.5233326,2015-01-01,Northland
Air,Malfunction,ELT,Category 2 SAR,-37.2788375,175.0488367,2016-01-01,Waikato
Land,Real distress,PLB,Category 2 SAR,-41.7311646,172.1054964,2017-01-01,West Coast
Land,Real distress,PLB,Category 2 SAR,-43.7645,170.038833,2019-01-01,Canterbury
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-34.8698198,173.37832,2013-01-01,Northland
Land,Mishandling / inadvertent,PLB,Category 2 SAR,-41.186408,174.947959,2015-01-01,Wellington
Land,Real distress,PLB,Category 2 SAR,-38.6578307,175.488837,2016-01-01,Manawatu-Wanganui
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-45.8850044,170.5033328,2017-01-01,Otago
Water,Real distress,PLB,Category 2 SAR,-40.297833,175.231167,2019-01-01,Manawatu-Wanganui
Not Determined,Undetermined,PLB,Category 2 SAR,-41.5659989,173.216328,2012-01-01,Marlborough
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-44.2333333,169.2166696,2013-01-01,Otago
Land,Outside NZSRR,PLB,Category 2 SAR,-33.869826,151.326804,2017-01-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-29.474534,131.937955,2018-01-01,Unknown
Air,Real distress,ELT,Category 2 SAR,-43.8049998,169.9686658,2014-01-01,Canterbury
Land,Real distress,PLB,Category 2 SAR,-44.406382,168.726023,2015-01-01,West Coast
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-9.727604,-172.673935,2017-01-01,Unknown
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-36.742167,174.7155,2019-01-01,Auckland
Land,Mishandling / inadvertent,PLB,Category 2 SAR,-42.0644985,171.4896707,2012-01-01,West Coast
Land,Deliberate but questionable need for SAROP,PLB,Category 2 SAR,-41.1888303,174.958831,2015-01-01,Wellington
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-43.7674979,170.1341699,2016-01-01,Canterbury
Water,Outside NZSRR,EPIRB,Category 2 SAR,-15.341322,-29.198228,2018-01-01,Unknown
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-36.65976,174.627357,2019-01-01,Auckland
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,1.327,172.98,2012-01-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-42.9611702,171.2345029,2014-01-01,West Coast
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-38.7444977,176.082665,2015-01-01,Waikato
Land,Mishandling / inadvertent,PLB,Category 2 SAR,-42.5393296,171.5918344,2016-01-01,West Coast
Land,Real distress,PLB,Category 2 SAR,-44.1649991,169.0900006,2017-01-01,Otago
Air,Undetermined,ELT,Category 2 SAR,-23.820362,151.247679,2018-01-01,Unknown
Land,Mishandling / inadvertent,PLB,Category 2 SAR,-37.95,178.2255,2019-01-01,Gisborne
Water,Malfunction,EPIRB,Category 2 SAR,-35.2539999,174.1998327,2012-01-01,Northland
Water,Real distress,EPIRB,Category 2 SAR,-35.2520035,174.2946721,2014-01-01,Northland
Water,Real distress,EPIRB,Category 2 SAR,-17.926234,146.162231,2018-01-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-45.387833,167.5355,2019-01-01,Southland
Air,Outside NZSRR,ELT,Category 2 SAR,-20.052667,144.406833,2012-01-01,Unknown
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-2.577,140.516,2013-01-01,Unknown
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-44.3036684,171.2230041,2014-01-01,Canterbury
Land,Undetermined,EPIRB,Category 2 SAR,-35.8041677,174.3093284,2017-01-01,Northland
Water,Undetermined,EPIRB,Category 2 SAR,-17.562262,-149.88201,2018-01-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-43.283333,171.057833,2019-01-01,Canterbury
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-37.7183348,175.7116617,2017-01-01,Waikato
Air,Mishandling / inadvertent,ELT,Category 2 SAR,25.02104,55.3757,2018-01-01,Unknown
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-36.333333,174.73,2019-01-01,Auckland
Not Determined,Undetermined,ELT,Category 2 SAR,-41.18677,174.9464776,2013-01-01,Wellington
Not Determined,Outside NZSRR,EPIRB,Category 2 SAR,-41.186408,174.947959,2015-01-01,Wellington
Air,Malfunction,ELT,Category 2 SAR,-36.6638311,174.6453322,2016-01-01,Auckland
Air,Deliberate but questionable need for SAROP,ELT,Category 2 SAR,-41.5144969,173.8700029,2017-01-01,Marlborough
Air,Outside NZSRR,ELT,Category 2 SAR,-32.803667,151.756833,2019-01-01,Unknown
Air,Outside NZSRR,ELT,Category 2 SAR,-38.251333,144.428833,2013-01-01,Unknown
Not Determined,Undetermined,EPIRB,Category 2 SAR,-41.186408,174.947959,2015-01-01,Wellington
Land,Real distress,PLB,Category 2 SAR,-43.6578355,170.1366669,2016-01-01,Canterbury
Not Determined,Outside NZSRR,PLB,Category 2 SAR,6.869388,158.219088,2017-01-01,Unknown
Water,Real distress,PLB,Category 2 SAR,-17.51097,-149.587012,2018-01-01,Unknown
Water,Undetermined,EPIRB,Category 2 SAR,-32.137833,152.636667,2019-01-01,Unknown
Not Determined,Malfunction,PLB,Category 2 SAR,-37.0000037,174.8749955,2012-01-01,Auckland
Land,Real distress,PLB,Category 2 SAR,-39.2633372,174.9755011,2013-01-01,Manawatu-Wanganui
Water,Undetermined,EPIRB,Category 2 SAR,-21.070333,-179.693833,2014-01-01,Unknown
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-37.0303314,174.9766688,2015-01-01,Auckland
Water,Malfunction,EPIRB,Category 2 SAR,-34.9816673,173.6666615,2017-01-01,Northland
Land,Real distress,PLB,Category 2 SAR,-38.16783,174.948839,2018-01-01,Waikato
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-41.03616667,173.018,2011-01-01,Tasman
Water,Real distress,EPIRB,Category 2 SAR,-43.9381667,168.6176716,2014-01-01,West Coast
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-33.949851,150.911183,2015-01-01,Unknown
Land,Malfunction,PLB,Category 2 SAR,-45.9434978,169.2605018,2017-01-01,Otago
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-35.803333,174.306667,2019-01-01,Northland
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-39.1605,147.086167,2012-01-01,Unknown
Not Determined,Outside NZSRR,EPIRB,Category 2 SAR,-21.955667,150.681833,2013-01-01,Unknown
Water,Undetermined,EPIRB,Category 2 SAR,-19.807,-174.3505,2014-01-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-44.4121704,168.8300024,2015-01-01,Otago
Land,Real distress,PLB,Category 2 SAR,-41.0488351,175.2833321,2016-01-01,Wellington
Land,Real distress,PLB,Category 2 SAR,-40.9521624,172.5411611,2017-01-01,Tasman
Water,Outside NZSRR,EPIRB,Category 2 SAR,-21.227167,149.964167,2019-01-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-44.4,168.6666667,2011-01-01,West Coast
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-41.5153358,174.8263327,2015-01-01,Wellington
Land,Real distress,PLB,Category 2 SAR,-43.0588341,170.8699978,2016-01-01,West Coast
Air,Real distress,ELT,Category 2 SAR,-39.723333,175.605,2019-01-01,Manawatu-Wanganui
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-37.0256627,174.9745019,2014-01-01,Auckland
Land,Real distress,PLB,Category 2 SAR,-46.1388314,167.153335,2016-01-01,Southland
Land,Malfunction,PLB,Category 2 SAR,-35.2500008,174.0000022,2017-01-01,Northland
Not Determined,Undetermined,PLB,Category 2 SAR,-45.490833,167.650499,2018-01-01,Southland
Air,Outside NZSRR,ELT,Category 2 SAR,-33.917062,147.20751,2019-01-01,Unknown
Air,Malfunction,ELT,Category 2 SAR,-29.702167,149.379667,2012-01-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-42.7866634,171.5816679,2014-01-01,West Coast
Water,Real distress,PLB,Category 2 SAR,-36.7973304,175.7251693,2015-01-01,Waikato
Water,Outside NZSRR,EPIRB,Category 2 SAR,-19.258403,146.822668,2017-01-01,Unknown
Water,Deliberate but questionable need for SAROP,EPIRB,Category 2 SAR,-35.378833,173.201833,2019-01-01,Northland
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-37.0254984,174.9708332,2016-01-01,Auckland
Water,Outside NZSRR,EPIRB,Category 2 SAR,-37.681622,144.449322,2017-01-01,Unknown
Air,Real distress,ELT,Category 2 SAR,-42.977001,172.979494,2018-01-01,Canterbury
Water,Real distress,EPIRB,Category 2 SAR,-16.521167,-173.776667,2019-01-01,Unknown
Water,Undetermined,EPIRB,Category 2 SAR,-19.7475,-174.6345,2014-01-01,Unknown
Air,Outside NZSRR,ELT,Category 2 SAR,-37.185425,119.989845,2016-01-01,Unknown
Land,Real distress,PLB,Category 2 SAR,-41.5255032,173.2821645,2017-01-01,Marlborough
Water,Undetermined,EPIRB,Category 2 SAR,-41.18677,174.946505,2019-01-01,Wellington
Land,Mishandling / inadvertent,PLB,Category 2 SAR,-41.5113296,173.824328,2014-01-01,Marlborough
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-45.0181698,168.7378309,2016-01-01,Otago
Water,Outside NZSRR,EPIRB,Category 2 SAR,-21.979637,152.470696,2018-01-01,Unknown
Not Determined,Outside NZSRR,PLB,Category 2 SAR,1.421167,173.101167,2019-01-01,Unknown
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-38.7513357,176.0583279,2012-01-01,Waikato
Air,Outside NZSRR,ELT,Category 2 SAR,-15.1515,131.503833,2013-01-01,Unknown
Air,Real distress,ELT,Category 2 SAR,-41.2413289,173.2211613,2016-01-01,Tasman
Air,Real distress,PLB,Category 2 SAR,-38.658835,177.723338,2018-01-01,Gisborne
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-41.339333,147.025833,2019-01-01,Unknown
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-37.7836663,175.2678297,2012-01-01,Waikato
Land,Real distress,PLB,Category 2 SAR,-39.1966661,175.0288297,2013-01-01,Manawatu-Wanganui
Not Determined,Outside NZSRR,EPIRB,Category 2 SAR,-23.299995,151.887,2015-01-01,Unknown
Land,Mishandling / inadvertent,PLB,Category 2 SAR,-39.931829,175.0556647,2016-01-01,Manawatu-Wanganui
Water,Outside NZSRR,EPIRB,Category 2 SAR,-20.813886,149.265161,2017-01-01,Unknown
Air,Real distress,PLB,Category 2 SAR,-38.658835,177.723338,2018-01-01,Gisborne
Land,Real distress,PLB,Category 2 SAR,-44.9800021,168.2633359,2015-01-01,Otago
Air,Deliberate but questionable need for SAROP,ELT,Category 2 SAR,-40.6394982,172.4379972,2016-01-01,Tasman
Land,Malfunction,PLB,Category 2 SAR,-39.883332,174.90217,2018-01-01,Manawatu-Wanganui
Air,Real distress,PLB,Category 2 SAR,-41.08,173.8655,2019-01-01,Marlborough
Land,Real distress,PLB,Category 2 SAR,-40.2045031,175.8111649,2014-01-01,Manawatu-Wanganui
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-34.8166698,174.3999992,2016-01-01,Unknown
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-36.860996,174.633005,2018-01-01,Auckland
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-37.028334,174.678516,2019-01-01,Auckland
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-43.4668359,170.1831624,2012-01-01,West Coast
Water,Undetermined,EPIRB,Category 2 SAR,-41.18677,174.9464776,2013-01-01,Wellington
Water,Outside NZSRR,EPIRB,Category 2 SAR,-38.103833,144.3625,2014-01-01,Unknown
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-35.214504,174.224498,2018-01-01,Northland
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-36.79,174.646667,2019-01-01,Auckland
Land,Mishandling / inadvertent,PLB,Category 2 SAR,-31.805333,152.623667,2013-01-01,Unknown
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-39.0183329,174.4020018,2014-01-01,Taranaki
Land,Mishandling / inadvertent,PLB,Category 2 SAR,-38.0616706,176.3685039,2015-01-01,Bay of Plenty
Not Determined,Undetermined,ELT,Category 2 SAR,-43.979741,-176.670337,2016-01-01,Unknown
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-46.0666665,168.9333384,2017-01-01,Southland
Land,Real distress,PLB,Category 2 SAR,-39.386666,176.328836,2018-01-01,Hawke's Bay
Air,Outside NZSRR,ELT,Category 2 SAR,-16.875167,145.750667,2014-01-01,Unknown
Not Determined,Undetermined,EPIRB,Category 2 SAR,-41.186408,174.947959,2015-01-01,Wellington
Land,Real distress,PLB,Category 2 SAR,-44.817831,168.897838,2018-01-01,Otago
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-37.658167,144.949833,2019-01-01,Unknown
Water,Mishandling / inadvertent,EPIRB,Category 2 SAR,-36.4661646,174.3226622,2012-01-01,Auckland
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-36.656168,174.6558308,2016-01-01,Auckland
Air,Mishandling / inadvertent,ELT,Category 2 SAR,-41.2983303,173.2518358,2017-01-01,Nelson
Land,Outside NZSRR,PLB,Category 2 SAR,-43.162167,146.368,2019-01-01,Unknown
Water,Outside NZSRR,EPIRB,Category 2 SAR,-41.891833,-63.825167,2013-01-01,Unknown
Water,Undetermined,EPIRB,Category 2 SAR,-41.18677,174.9464776,2014-01-01,Wellington
